pair_id,sent_1,sent_2,split_sent_1,split_sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,choice_correct_1,choice_incorrect_1,choice_word_id_correct_1,choice_word_id_incorrect_1,choice_correct_2,choice_incorrect_2,choice_word_id_correct_2,choice_word_id_incorrect_2,context_1,context_word_id_1,context_2,context_word_id_2
59,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.","Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.","['Bob', 'paid', 'for', ""Charlie's"", 'college', 'education,', 'but', 'now', 'Charlie', 'acts', 'as', 'though', 'it', 'never', 'happened.', 'He', 'is', 'very', 'hurt.']","['Bob', 'paid', 'for', ""Charlie's"", 'college', 'education,', 'but', 'now', 'Charlie', 'acts', 'as', 'though', 'it', 'never', 'happened.', 'He', 'is', 'very', 'ungrateful.']",He,He,15,15,Bob,Charlie,0,3,Charlie,Bob,3,0,hurt,18,ungrateful,18
61,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","['Fred', 'is', 'the', 'only', 'man', 'alive', 'who', 'still', 'remembers', 'my', 'father', 'as', 'an', 'infant.', 'When', 'Fred', 'first', 'saw', 'my', 'father,', 'he', 'was', 'twelve', 'years', 'old.']","['Fred', 'is', 'the', 'only', 'man', 'alive', 'who', 'still', 'remembers', 'my', 'father', 'as', 'an', 'infant.', 'When', 'Fred', 'first', 'saw', 'my', 'father,', 'he', 'was', 'twelve', 'months', 'old.']",he,he,20,20,Fred,My father,0,9,My father,Fred,9,0,years,23,months,23
62,Jane knocked on Susan's door but she did not answer.,Jane knocked on Susan's door but she did not get an answer.,"['Jane', 'knocked', 'on', ""Susan's"", 'door', 'but', 'she', 'did', 'not', 'answer.']","['Jane', 'knocked', 'on', ""Susan's"", 'door', 'but', 'she', 'did', 'not', 'get', 'an', 'answer.']",she,she,6,6,Susan,Jane,3,0,Jane,Susan,0,3,answer,9,get an answer,9
63,"Jane knocked on Susan's door, but there was no answer. She was disappointed.","Jane knocked on Susan's door, but there was no answer. She was out.","['Jane', 'knocked', 'on', ""Susan's"", 'door,', 'but', 'there', 'was', 'no', 'answer.', 'She', 'was', 'disappointed.']","['Jane', 'knocked', 'on', ""Susan's"", 'door,', 'but', 'there', 'was', 'no', 'answer.', 'She', 'was', 'out.']",She,She,10,10,Jane,Susan,0,3,Susan,Jane,3,0,disappointed,12,out,12
64,The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,"['The', 'foxes', 'are', 'getting', 'in', 'at', 'night', 'and', 'attacking', 'the', 'chickens.', 'They', 'have', 'gotten', 'very', 'bold.']","['The', 'foxes', 'are', 'getting', 'in', 'at', 'night', 'and', 'attacking', 'the', 'chickens.', 'They', 'have', 'gotten', 'very', 'nervous.']",They,They,11,11,The foxes,The chickens,0,9,The chickens,The foxes,9,0,bold,15,nervous,15
65,The foxes are getting in at night and attacking the chickens. I shall have to kill them.,The foxes are getting in at night and attacking the chickens. I shall have to guard them.,"['The', 'foxes', 'are', 'getting', 'in', 'at', 'night', 'and', 'attacking', 'the', 'chickens.', 'I', 'shall', 'have', 'to', 'kill', 'them.']","['The', 'foxes', 'are', 'getting', 'in', 'at', 'night', 'and', 'attacking', 'the', 'chickens.', 'I', 'shall', 'have', 'to', 'guard', 'them.']",them,them,16,16,The foxes,The chickens,0,9,The chickens,The foxes,9,0,kill,15,guard,15
66,This book introduced Shakespeare to Goethe; it was a major influence on his writing.,This book introduced Shakespeare to Ovid; it was a major influence on his writing.,"['This', 'book', 'introduced', 'Shakespeare', 'to', 'Goethe;', 'it', 'was', 'a', 'major', 'influence', 'on', 'his', 'writing.']","['This', 'book', 'introduced', 'Shakespeare', 'to', 'Ovid;', 'it', 'was', 'a', 'major', 'influence', 'on', 'his', 'writing.']",his,his,12,12,Goethe,Shakespeare,5,3,Shakespeare,Ovid,3,5,Goethe,5,Ovid,5
67,This book introduced Shakespeare to Ovid; it was a fine selection of his writing.,This book introduced Shakespeare to Goethe; it was a fine selection of his writing.,"['This', 'book', 'introduced', 'Shakespeare', 'to', 'Ovid;', 'it', 'was', 'a', 'fine', 'selection', 'of', 'his', 'writing.']","['This', 'book', 'introduced', 'Shakespeare', 'to', 'Goethe;', 'it', 'was', 'a', 'fine', 'selection', 'of', 'his', 'writing.']",his,his,12,12,Ovid,Shakespeare,5,3,Shakespeare,Goethe,3,5,Ovid,5,Goethe,5
68,Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.,"['Frank', 'felt', 'vindicated', 'when', 'his', 'longtime', 'rival', 'Bill', 'revealed', 'that', 'he', 'was', 'the', 'winner', 'of', 'the', 'competition.']","['Frank', 'felt', 'crushed', 'when', 'his', 'longtime', 'rival', 'Bill', 'revealed', 'that', 'he', 'was', 'the', 'winner', 'of', 'the', 'competition.']",he,he,10,10,Frank,Bill,0,7,Bill,Frank,7,0,vindicated,2,crushed,2
69,Pete envies Martin because he is very successful.,Pete envies Martin although he is very successful.,"['Pete', 'envies', 'Martin', 'because', 'he', 'is', 'very', 'successful.']","['Pete', 'envies', 'Martin', 'although', 'he', 'is', 'very', 'successful.']",he,he,4,4,Martin,Pete,2,0,Pete,Martin,0,2,because,3,although,3
71,Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca suspected that she had stolen the watch.,"['Carol', 'believed', 'that', 'Rebecca', 'regretted', 'that', 'she', 'had', 'stolen', 'the', 'watch.']","['Carol', 'believed', 'that', 'Rebecca', 'suspected', 'that', 'she', 'had', 'stolen', 'the', 'watch.']",she,she,6,6,Rebecca,Carol,3,0,Carol,Rebecca,0,3,regretted,4,suspected,4
73,"John ordered Bill to leave, so an hour later he left.","John promised Bill to leave, so an hour later he left.","['John', 'ordered', 'Bill', 'to', 'leave,', 'so', 'an', 'hour', 'later', 'he', 'left.']","['John', 'promised', 'Bill', 'to', 'leave,', 'so', 'an', 'hour', 'later', 'he', 'left.']",he,he,9,9,Bill,John,2,0,John,Bill,0,2,ordered,1,promised,1
74,The firemen arrived before the police because they were coming from so far away.,The firemen arrived after the police because they were coming from so far away.,"['The', 'firemen', 'arrived', 'before', 'the', 'police', 'because', 'they', 'were', 'coming', 'from', 'so', 'far', 'away.']","['The', 'firemen', 'arrived', 'after', 'the', 'police', 'because', 'they', 'were', 'coming', 'from', 'so', 'far', 'away.']",they,they,7,7,The police,The firemen,4,0,The firemen,The police,0,4,before,3,after,3
75,I put the butterfly wing on the table and it broke.,I put the heavy book on the table and it broke.,"['I', 'put', 'the', 'butterfly', 'wing', 'on', 'the', 'table', 'and', 'it', 'broke.']","['I', 'put', 'the', 'heavy', 'book', 'on', 'the', 'table', 'and', 'it', 'broke.']",it,it,9,9,The butterfly wing,The table,2,6,The table,The heavy book,6,2,the butterfly wing,2,the heavy book,2
76,Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,"['Anna', 'did', 'a', 'lot', 'worse', 'than', 'her', 'good', 'friend', 'Lucy', 'on', 'the', 'test', 'because', 'she', 'had', 'studied', 'so', 'hard.']","['Anna', 'did', 'a', 'lot', 'better', 'than', 'her', 'good', 'friend', 'Lucy', 'on', 'the', 'test', 'because', 'she', 'had', 'studied', 'so', 'hard.']",she,she,14,14,Lucy,Anna,9,0,Anna,Lucy,0,9,worse,4,better,4
77,Jim comforted Kevin because he was so upset.,Jim yelled at Kevin because he was so upset.,"['Jim', 'comforted', 'Kevin', 'because', 'he', 'was', 'so', 'upset.']","['Jim', 'yelled', 'at', 'Kevin', 'because', 'he', 'was', 'so', 'upset.']",he,he,4,5,Kevin,Jim,2,0,Jim,Kevin,0,3,comforted,1,yelled at,1
